row_id,county_code,year,state,population,renter_occupied_households,pct_renter_occupied,median_gross_rent,median_household_income,median_property_value,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,evictions
0,a4e2211,b,d725a95,45009.0,6944.0,37.218,643.0,33315.0,98494.0,33.389,0.4120703838205493,0.4934592002568167,0.07019321442186152,0.0025882305732228485,0.004574547059649686,0.00020063802893200376,0.015920627595754498,0.0009931582432134187,18.451,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.40700000000000003,0.09300000000000001,0.239,0.068,0.332,0.27699999999999997,0.145,0.12,0.077,0.313,12.165287368737848,14.01,18.21,318,2420.0,1960.0,0.532,0.252,0.153,0.233,0.375,0.278,0.114,12.915129150999999,11.205112050999999,681
1,583e0c7,a,533155c,9872.0,1224.0,31.773000000000003,517.0,43724.0,85444.0,26.476999999999997,0.8386815083961499,0.015587830852462637,0.03741882383643317,0.07349265776029068,0.00577141193829106,0.0008029790522839736,0.028244788164088774,0.0,11.922,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.547,0.04,0.204,0.092,0.315,0.20800000000000002,0.129,0.06,0.094,0.31,8.292554349546748,nan,28.58,306,3330.0,890.0,0.509,0.252,0.188,0.07329317269076305,0.3975903614457832,0.3313253012048193,0.19779116465863456,11.049158525,12.276842805,0
2,4776bfd,b,d725a95,17625.0,1725.0,21.973000000000003,671.0,37777.0,136162.0,32.5,0.8737330870238154,0.04104049128763293,0.046921963153427525,0.0045034699685456096,0.00487293424534425,0.0,0.02872834390134305,0.0001997104198911578,11.883,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Recreation,0.43,0.065,0.3,0.10800000000000001,0.29100000000000004,0.245,0.106,0.08,nan,0.244,13.129412423020778,nan,11.14,266,6699.0,3509.0,0.451,0.166,0.18899999999999997,0.20658682634730535,0.30339321357285426,0.3013972055888223,0.18862275449101795,7.9035763683,10.161741045,29
3,97fb48d,a,d725a95,134136.0,18180.0,36.809,603.0,30607.0,70062.0,31.959,0.26408317203120946,0.24083571129247897,0.08106678905673177,0.3779857522000279,0.0072436293975615094,0.00039909803843314113,0.02558218426356434,0.0028036637199928163,26.025,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.379,0.084,0.335,0.10099999999999999,0.39799999999999996,0.254,0.157,0.11,0.084,0.349,12.226194264523276,22.7,34.73,325,4810.0,2219.0,0.519,0.263,0.125,0.2482552342971087,0.3349950149551347,0.2901296111665005,0.12662013958125626,13.137118675999998,10.202072366,841
4,47a9ba3,a,be99678,6936.0,551.0,17.627,668.0,44237.0,187066.0,29.339000000000002,0.9245018215117552,0.0051460195489021155,0.03575338920629865,0.014044552385881792,0.0007067067465610258,0.0031752035514502424,0.01667230704915096,0.0,10.674000000000001,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.433,0.064,0.23,0.11900000000000001,0.242,0.204,0.099,0.079,0.193,0.215,8.906229394578727,nan,23.26,187,nan,3410.0,0.48700000000000004,0.196,0.203,0.05864811133200795,0.2763419483101392,0.4135188866799205,0.2514910536779324,6.0847519015,5.9398768562,2
5,2f5d62b,b,dc52510,985597.0,195220.0,48.578,1001.0,57207.0,240149.0,29.99,0.40381612484007134,0.4354996322899771,0.07613108610459084,0.0019040327211549122,0.06303456474214962,0.0003022274160563352,0.01698518078236604,0.0023271511036337808,12.948,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.514,0.071,0.273,0.096,0.231,0.132,0.079,0.11,0.18,0.196,13.209207245002188,12.8,10.52,256,1609.0,1030.0,0.513,0.233,0.09699999999999999,0.09054726368159204,0.17910447761194032,0.2358208955223881,0.4945273631840797,12.632217769,6.101172038,4191
6,2406c8b,a,f93b51e,18330.0,2256.0,30.415,522.0,29778.0,88617.0,26.88,0.9540618325127104,0.007811794907792741,0.017288234173343627,0.0016044764894054412,0.005104240831921059,0.0,0.013728301962475306,0.0004011191223513603,21.1,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.419,0.062,0.26,0.094,0.35600000000000004,0.23800000000000002,0.132,0.079,nan,0.31,9.906624250068932,8.5,24.43,370,2630.0,3100.0,0.511,0.251,0.188,0.22255489021956087,0.4101796407185628,0.24451097804391214,0.12275449101796408,13.568595267000001,11.598960471,24
7,801bf91,a,56f170e,185248.0,13778.0,18.445999999999998,953.0,91954.0,255951.0,26.738000000000003,0.870105119563473,0.036079682233991335,0.02353153586904189,0.0009127748354999199,0.048166425934841925,0.0003009147809340395,0.01907799711121811,0.0018255496709998398,3.074,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.534,0.035,0.087,0.035,0.264,0.122,0.087,0.07,0.2,0.217,13.759307522850726,1.2,6.32,192,2010.0,820.0,0.501,0.27899999999999997,0.111,0.033932135728542916,0.20459081836327345,0.2435129740518962,0.5179640718562875,11.188855105,5.8403939649000005,225
8,82dbbf7,b,a972798,46558.0,4382.0,23.017,674.0,48484.0,124230.0,27.064,0.8849615103556664,0.0057659389170845975,0.09204480615033486,0.001211247585012563,0.006166351341882139,0.0006006186371963122,0.00924952701282321,0.0,8.954,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.503,0.055999999999999994,0.22899999999999998,0.10400000000000001,0.314,0.21,0.102,0.07,0.11199999999999999,0.293,13.17988792888408,nan,21.05,260,2639.0,1559.0,0.506,0.259,0.155,0.15415415415415412,0.4054054054054054,0.25625625625625625,0.18418418418418414,11.588892558,10.033765431,93
9,23c3967,b,a8981de,27319.0,2543.0,21.691,617.0,35375.0,78601.0,30.516,0.6185194763856284,0.35454382684120483,0.0176759638721999,0.0,0.00019894163052560382,0.0,0.00846496637886444,0.0005968248915768112,18.175,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.392,0.065,0.266,0.09,0.358,0.233,0.136,0.129,0.078,0.348,11.658108262260175,7.78,39.92,401,3499.0,1950.0,0.516,0.259,0.14800000000000002,0.2047952047952048,0.3916083916083917,0.2767232767232768,0.12687312687312688,12.47771836,10.47691804,6
